Srno,Question,OptionA,OptionB,OptionC,OptionD,Answer
74," A Solution Architect has a two-tier application with a single Amazon EC2 
instance web server and Amazon RDS MySQL Multi-AZ DB instances. The 
Architect is re-architecting the application for high availability by 
adding instances in a second Availability Zone.Which additional services will improve the availability of the application? 
(Choose two.)",Auto Scaling group,AWS CloudTrail,ELB Classic Load Balancer," 
Amazon DynamoDB E. Amazon ElastiCache ", AE 
75," A company is migrating its data center to AWS. As part of this migration, 
there is a three-tier web application that has strict data-at-rest 
encryption requirements.The customer deploys this application on Amazon EC2 using Amazon EBS, and 
now must provide encryption at-rest.How can this requirement be met without changing the application?","Use AWS Key Management Service and move the encrypted data to Amazon 
S3.","Use an application-specific encryption API with AWS server-side 
encryption.",Use encrypted EBS storage volumes with AWS-managed keys.," 
Use third-party tools to encrypt the EBS data volumes with Key Management 
Service Bring Your Own Keys. ", C 
76," A Solutions Architect is developing software on AWS that requires access 
to multiple AWS services, including an Amazon EC2 instance. This is a 
security sensitive application, and AWS credentials such as Access Key ID 
and Secret Access Key need to be protected and cannot be exposed anywhere 
in the system.What security measure would satisfy these requirements?","Store the AWS Access Key ID/Secret Access Key combination in software 
comments.",Assign an IAM user to the Amazon EC2 instance.,"Assign an 
IAM role to the Amazon EC2 instance."," Enable multi-factor authentication 
for the AWS root account. ", A S
77," An AWS workload in a VPC is running a legacy database on an Amazon EC2 
instance. Data is stored on a 200GB Amazon EBS (gp2) volume. At peak load 
times, logs show excessive wait time.What solution should be implemented to improve database performance using 
persistent storage?",Migrate the data on the Amazon EBS volume to an SSD-backed volume.,"
Change the EC2 instance type to one with EC2 instance store volumes.","
Migrate the data on the EBS volume to provisioned IOPS SSD (io1)."," Change 
the EC2 instance type to one with burstable performance. ", An 
78," A company's website receives 50,000 requests each second, and the company 
wants to use multiple applications to analyze the navigation patterns of 
the users on their website so that the experience can be personalized.What can a Solutions Architect use to collect page clicks for the website 
and process them sequentially for each user?",Amazon Kinesis Stream,Amazon SQS standard queue,"Amazon SQS FIFO 
queue", AWS CloudTrail trail , A c
79," A company wants to migrate a highly transactional database to AWS. 
Requirements state that the database has more than 6 TB of data and will 
grow exponentially.Which solution should a Solutions Architect recommend?",Amazon Aurora,Amazon Redshift,Amazon DynamoDB, Amazon RDS MySQL , A c
80," A company has an application that stores sensitive data. The company is 
required by government regulations to store multiple copies of its data.What would be the MOST resilient and cost-effective option to meet this 
requirement?",Amazon EFS,Amazon RDS,AWS Storage Gateway, Amazon S3 , A c
81," A Solutions Architect is designing an Amazon VPC. Applications in the VPC 
must have private connectivity to Amazon DynamoDB in the same AWS Region.The design should route DynamoDB traffic through:",VPC peering connection.,NAT gateway,VPC endpoint," AWS Direct 
Connect ", A S
82," A Solutions Architect is architecting a workload that requires a 
performant object-based storage system that must be shared with multiple 
Amazon EC2 instances.Which AWS service meets this requirement?",Amazon EFS,Amazon S3,Amazon EBS, Amazon ElastiCache , A S
83," A Solutions Architect is developing a solution for sharing files in an 
organization. The solution must allow multiple users to access the storage 
service at once from different virtual machines and scale automatically. It 
must also support file-level locking.Which storage service meets the requirements of this use case?",Amazon S3,Amazon EFS,Amazon EBS, Cached Volumes , B 
84," A company runs a legacy application with a single-tier architecture on an 
Amazon EC2 instance. Disk I/O is low, with occasional small spikes during 
business hours. The company requires the instance to be stopped from 8 PM 
to 8 AM daily.Which storage option is MOST appropriate for this workload?",Amazon EC2 instance storage,"Amazon EBS General Purpose SSD (gp2) 
storage",Amazon S3, Amazon EBS Provision IOPS SSD (io1) storage , C 
85," As part of securing an API layer built on Amazon API gateway, a Solutions 
Architect has to authorize users who are currently authenticated by an 
existing identity provider. The users must be denied access for a period of 
one hour after three unsuccessful attempts.How can the Solutions Architect meet these requirements?","Use AWS IAM authorization and add least-privileged permissions to each 
respective IAM role.","Use an API Gateway custom authorizer to invoke an 
AWS Lambda function to validate each user's identity.","Use Amazon Cognito 
user pools to provide built-in user management."," Use Amazon Cognito user 
pools to integrate with external identity providers. ", B 
86," An organization runs an online media site, hosted on-premises. An employee 
posted a product review that contained videos and pictures. The review went 
viral and the organization needs to handle the resulting spike in website 
traffic.What action would provide an immediate solution?","Redesign the website to use Amazon API Gateway, and use AWS Lambda to 
deliver content.","Add server instances using Amazon EC2 and use Amazon 
Route 53 with a failover routing policy.","Serve the images and videos via 
an Amazon CloudFront distribution created using the news site as the 
origin."," Use Amazon ElasticCache for Redis for caching and reducing the 
load requests from the origin. ", C 
